wnid     name                        13_classes         40_classes
4256520  sofa.n.01                   Sofa               Sofa
4284002  spoon.n.01                  Objects            Other-prop
4306847  statue.n.01                 Objects            Other-structure
4315948  stereo.n.01                 Objects            Other-prop
4330267  stove.n.02                  Objects            Other-structure
4331277  straight_chair.n.01         Chair              Chair
4337974  string.n.01                 Objects            Other-structure
4343346  stud.n.02                   Objects            Other-prop
4344873  studio_couch.n.01           Sofa               Sofa
4349401  subwoofer.n.01              Objects            Other-prop
4372370  switch.n.01                 Wall               Wall
4373704  swivel_chair.n.01           Chair              Chair
4379243  table.n.02                  Table              Table
4380533  table_lamp.n.01             Objects            Lamp
4381587  table-tennis_table.n.01     Table              Table
4398044  teapot.n.01                 Objects            Other-prop
4398951  tea_table.n.01              Table              Table
4401088  telephone.n.01              Objects            Other-prop
4446276  toilet.n.01                 Objects            Toilet
4447028  toilet_bowl.n.01            Objects            Toilet
4453156  toothbrush.n.01             Objects            Other-prop
4459362  towel.n.01                  Objects            Towel
4460038  towel_ring.n.01             Objects            Other-structure
4466871  trail_bike.n.01             Objects            Other-structure
4476259  tray.n.01                   Objects            Other-prop
4502670  tweeter.n.01                Objects            Other-prop
4515003  upright.n.02                Objects            Other-furniture
4516116  urn.n.01                    Objects            Other-prop
4522168  vase.n.01                   Objects            Other-prop
4526964  ventilator.n.01             Objects            Other-prop
4529681  vertical_file.n.01          Objects            Other-prop
4533802  videocassette_recorder.n.01 Objects            Other-prop
4546855  wall.n.01                   Wall               Wall
4548280  wall_clock.n.01             Wall               Other-prop
4550184  wardrobe.n.01               Furniture          Other-furniture
4553920  washbasin.n.01              Objects            Sink
4554684  washer.n.03                 Objects            Other-structure
4559451  water_faucet.n.01           Objects            Sink
4569063  webcam.n.01                 Objects            Other-prop
4586225  wind_chime.n.01             Objects            Other-prop
4587648  window.n.01                 Window             Window
4589593  window_frame.n.01           Window             Window
4590263  windowsill.n.01             Window             Window
4590933  windsor_chair.n.01          Chair              Chair
4591713  wine_bottle.n.01            Objects            Other-prop
4593077  wing_chair.n.01             Chair              Chair
4599124  woofer.n.01                 Objects            Other-prop
4603729  worktable.n.01              Table              Table
4608329  writing_desk.n.02           Table              Desks
6277280  television.n.01             TV                 Television
6410904  book.n.01                   Books              Books
6415419  notebook.n.01               Objects            Books
6508816  file.n.01                   Objects            Paper
6709442  trophy.n.01                 Objects            Other-prop
8266235  table.n.01                  Table              Table
8647616  seat.n.01                   Chair              Chair
20000004 headboardbeds               Bed                Bed
20000006 kingsizebeds                Bed                Bed
20000007 miscbeds                    Bed                Bed
20000008 bedcabinet                  Furniture          Cabinet
20000009 boxcabinet                  Furniture          Cabinet
20000010 deskcabinet                 Furniture          Cabinet
20000011 garagecabinet               Furniture          Cabinet
20000012 tallcabinet                 Furniture          Cabinet
20000013 two-doorcabinet             Furniture          Cabinet
20000015 ballchair                   Chair              Chair
20000016 barcelonachair              Chair              Chair
20000018 beanchair                   Chair              Chair
20000020 cantileverchair             Chair              Chair
20000021 NO.14chair                  Chair              Chair
20000022 rexchair                    Chair              Chair
20000023 tulipchair                  Chair              Chair
20000024 wassilychair                Chair              Chair
20000025 Xchair                      Chair              Chair
20000026 zigzagchair                 Chair              Chair
20000027 clubchair                   Chair              Chair
20000028 doublecouch                 Sofa               Sofa
20000029 L-shapedcouch               Sofa               Sofa
20000030 leathercouch                Sofa               Sofa
20000036 cabinettable                Table              Table
20000037 rectangulartable            Table              Table
20000038 roundtable                  Table              Table
20000039 shorttable                  Table              Table
20000040 sidetable                   Table              Table
20000041 workshoptable               Table              Table
